2026-07-22 11:39:52 | INFO     | __main__ | main:2947 | ================================================================================
2026-07-22 11:39:52 | INFO     | __main__ | main:2948 | PRODUCTION QUIZ BOT - STARTING (SIMPLIFIED VERSION)
2026-07-22 11:39:52 | INFO     | __main__ | main:2949 | ================================================================================
2026-07-22 11:39:52 | DEBUG    | httpx | load_ssl_context:78 | load_ssl_context verify=True cert=None trust_env=True http2=False
2026-07-22 11:39:52 | DEBUG    | httpx | load_ssl_context_verify:144 | load_verify_locations cafile='E:\\Quizbot-main\\Quizbot-main\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2026-07-22 11:39:52 | DEBUG    | httpx | load_ssl_context:78 | load_ssl_context verify=True cert=None trust_env=True http2=False
2026-07-22 11:39:52 | DEBUG    | httpx | load_ssl_context_verify:144 | load_verify_locations cafile='E:\\Quizbot-main\\Quizbot-main\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2026-07-22 11:39:52 | INFO     | __main__ | main:2980 | ✓ Handlers registered
2026-07-22 11:39:52 | INFO     | __main__ | main:2981 | ✓ Starting polling...
2026-07-22 11:39:52 | DEBUG    | asyncio | __init__:633 | Using proactor: IocpProactor
2026-07-22 11:39:52 | DEBUG    | telegram.ext.ExtBot | decorator:524 | Entering: get_me
2026-07-22 11:39:52 | DEBUG    | httpcore.connection | atrace:87 | connect_tcp.started host='api.telegram.org' port=443 local_address=None timeout=30 socket_options=None
2026-07-22 11:39:52 | DEBUG    | httpcore.connection | atrace:87 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000023A921CD450>
2026-07-22 11:39:52 | DEBUG    | httpcore.connection | atrace:87 | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000023A921B6570> server_hostname='api.telegram.org' timeout=30
2026-07-22 11:39:53 | DEBUG    | httpcore.connection | atrace:87 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000023A9229B590>
2026-07-22 11:39:53 | DEBUG    | httpcore.http11 | atrace:87 | send_request_headers.started request=<Request [b'POST']>
2026-07-22 11:39:53 | DEBUG    | httpcore.http11 | atrace:87 | send_request_headers.complete
2026-07-22 11:39:53 | DEBUG    | httpcore.http11 | atrace:87 | send_request_body.started request=<Request [b'POST']>
2026-07-22 11:39:53 | DEBUG    | httpcore.http11 | atrace:87 | send_request_body.complete
2026-07-22 11:39:53 | DEBUG    | httpcore.http11 | atrace:87 | receive_response_headers.started request=<Request [b'POST']>
